time: 49306080
x[0]: = -44 , y[0]: = 230 , z[0]: = 61  , avg[0]: = 241.985537
x[1]: = -45 , y[1]: = 231 , z[1]: = 61  , avg[1]: = 243.119312
x[2]: = -45 , y[2]: = 227 , z[2]: = 63  , avg[2]: = 239.839530
x[3]: = -45 , y[3]: = 228 , z[3]: = 63  , avg[3]: = 240.786212
x[4]: = -45 , y[4]: = 225 , z[4]: = 65  , avg[4]: = 238.484800
x[5]: = -42 , y[5]: = 226 , z[5]: = 64  , avg[5]: = 238.612657
x[6]: = -40 , y[6]: = 225 , z[6]: = 64  , avg[6]: = 237.320458
x[7]: = -43 , y[7]: = 230 , z[7]: = 63  , avg[7]: = 242.317973
x[8]: = -44 , y[8]: = 230 , z[8]: = 65  , avg[8]: = 243.024690
x[9]: = -42 , y[9]: = 229 , z[9]: = 66  , avg[9]: = 241.993802
time: 49306480
x[0]: = -44 , y[0]: = 230 , z[0]: = 64  , avg[0]: = 242.759140
x[1]: = -42 , y[1]: = 231 , z[1]: = 61  , avg[1]: = 242.581945
x[2]: = -42 , y[2]: = 228 , z[2]: = 64  , avg[2]: = 240.507796
x[3]: = -41 , y[3]: = 229 , z[3]: = 63  , avg[3]: = 241.020746
x[4]: = -41 , y[4]: = 230 , z[4]: = 63  , avg[4]: = 241.971073
x[5]: = -41 , y[5]: = 229 , z[5]: = 63  , avg[5]: = 241.020746
x[6]: = -41 , y[6]: = 232 , z[6]: = 66  , avg[6]: = 244.665077
x[7]: = -44 , y[7]: = 233 , z[7]: = 63  , avg[7]: = 245.344656
x[8]: = -44 , y[8]: = 229 , z[8]: = 62  , avg[8]: = 241.290282
x[9]: = -42 , y[9]: = 232 , z[9]: = 60  , avg[9]: = 243.285840
time: 49306904
x[0]: = -43 , y[0]: = 228 , z[0]: = 63  , avg[0]: = 240.420465
x[1]: = -44 , y[1]: = 228 , z[1]: = 65  , avg[1]: = 241.132744
x[2]: = -43 , y[2]: = 229 , z[2]: = 63  , avg[2]: = 241.369012
x[3]: = -41 , y[3]: = 231 , z[3]: = 64  , avg[3]: = 243.183059
x[4]: = -42 , y[4]: = 229 , z[4]: = 64  , avg[4]: = 241.456000
x[5]: = -42 , y[5]: = 234 , z[5]: = 61  , avg[5]: = 245.440420
x[6]: = -51 , y[6]: = 245 , z[6]: = 50  , avg[6]: = 255.197962
x[7]: = -53 , y[7]: = 257 , z[7]: = 81  , avg[7]: = 274.625199
x[8]: = -60 , y[8]: = 270 , z[8]: = 161 , avg[8]: = 320.032811
x[9]: = -54 , y[9]: = 308 , z[9]: = 127 , avg[9]: = 337.504074
time: 49307304
x[0]: = -49 , y[0]: = 318 , z[0]: = 104 , avg[0]: = 338.143461
x[1]: = -37 , y[1]: = 310 , z[1]: = 87  , avg[1]: = 324.095665
x[2]: = -26 , y[2]: = 299 , z[2]: = 79  , avg[2]: = 310.351414
x[3]: = -23 , y[3]: = 296 , z[3]: = 71  , avg[3]: = 305.263820
x[4]: = -25 , y[4]: = 269 , z[4]: = 67  , avg[4]: = 278.343313
x[5]: = -33 , y[5]: = 217 , z[5]: = 61  , avg[5]: = 227.813520
x[6]: = -44 , y[6]: = 159 , z[6]: = 32  , avg[6]: = 168.050588
x[7]: = -62 , y[7]: = 76  , z[7]: = -8  , avg[7]: = 98.407317
x[8]: = -56 , y[8]: = 14  , z[8]: = -44 , avg[8]: = 72.580989
x[9]: = -38 , y[9]: = 10  , z[9]: = -45 , avg[9]: = 59.741108
time: 49307728
x[0]: = -21 , y[0]: = 51  , z[0]: = -18 , avg[0]: = 58.017239
x[1]: = -6  , y[1]: = 100 , z[1]: = 9   , avg[1]: = 100.583299
x[2]: = 1   , y[2]: = 143 , z[2]: = 42  , avg[2]: = 149.043618
x[3]: = -4  , y[3]: = 194 , z[3]: = 55  , avg[3]: = 201.685399
x[4]: = 8   , y[4]: = 279 , z[4]: = 81  , avg[4]: = 290.630349
x[5]: = -18 , y[5]: = 307 , z[5]: = 70  , avg[5]: = 315.393405
x[6]: = -17 , y[6]: = 319 , z[6]: = 90  , avg[6]: = 331.888536
x[7]: = -5  , y[7]: = 323 , z[7]: = 91  , avg[7]: = 335.611382
x[8]: = -5  , y[8]: = 317 , z[8]: = 79  , avg[8]: = 326.733837
x[9]: = 173 , y[9]: = 502 , z[9]: = 111 , avg[9]: = 542.451841
time: 49308128
x[0]: = 75  , y[0]: = 295 , z[0]: = 136 , avg[0]: = 333.385663
x[1]: = 43  , y[1]: = 239 , z[1]: = 62  , avg[1]: = 250.627213
x[2]: = 37  , y[2]: = 227 , z[2]: = 125 , avg[2]: = 261.768982
x[3]: = -7  , y[3]: = 249 , z[3]: = 27  , avg[3]: = 250.557379
x[4]: = -10 , y[4]: = 227 , z[4]: = 76  , avg[4]: = 239.593406
x[5]: = -26 , y[5]: = 231 , z[5]: = 59  , avg[5]: = 239.829106
x[6]: = -31 , y[6]: = 230 , z[6]: = 64  , avg[6]: = 240.742601
x[7]: = -32 , y[7]: = 233 , z[7]: = 63  , avg[7]: = 243.478952
x[8]: = -31 , y[8]: = 232 , z[8]: = 61  , avg[8]: = 241.880136
x[9]: = -31 , y[9]: = 232 , z[9]: = 60  , avg[9]: = 241.629882
time: 49308528
x[0]: = -31 , y[0]: = 232 , z[0]: = 60  , avg[0]: = 241.629882
x[1]: = -33 , y[1]: = 233 , z[1]: = 60  , avg[1]: = 242.853866
x[2]: = -29 , y[2]: = 229 , z[2]: = 63  , avg[2]: = 239.271812
x[3]: = -27 , y[3]: = 228 , z[3]: = 64  , avg[3]: = 238.346387
x[4]: = -26 , y[4]: = 228 , z[4]: = 65  , avg[4]: = 238.505765
x[5]: = -27 , y[5]: = 231 , z[5]: = 62  , avg[5]: = 240.694828
x[6]: = -27 , y[6]: = 231 , z[6]: = 62  , avg[6]: = 240.694828
x[7]: = -30 , y[7]: = 230 , z[7]: = 63  , avg[7]: = 240.351825
x[8]: = -35 , y[8]: = 231 , z[8]: = 62  , avg[8]: = 241.722982
x[9]: = -40 , y[9]: = 233 , z[9]: = 61  , avg[9]: = 244.151592
time: 49308952
x[0]: = -40 , y[0]: = 231 , z[0]: = 62  , avg[0]: = 242.497423
x[1]: = -38 , y[1]: = 232 , z[1]: = 60  , avg[1]: = 242.627286
x[2]: = -39 , y[2]: = 230 , z[2]: = 59  , avg[2]: = 240.628344
x[3]: = -37 , y[3]: = 232 , z[3]: = 60  , avg[3]: = 242.472679
x[4]: = -37 , y[4]: = 232 , z[4]: = 59  , avg[4]: = 242.227166
x[5]: = -36 , y[5]: = 233 , z[5]: = 60  , avg[5]: = 243.279674
x[6]: = -37 , y[6]: = 233 , z[6]: = 61  , avg[6]: = 243.678066
x[7]: = -38 , y[7]: = 234 , z[7]: = 62  , avg[7]: = 245.038772
x[8]: = -54 , y[8]: = 239 , z[8]: = 66  , avg[8]: = 253.757759
x[9]: = -31 , y[9]: = 274 , z[9]: = 136 , avg[9]: = 307.462193
time: 49309352
x[0]: = -35 , y[0]: = 317 , z[0]: = 109 , avg[0]: = 337.038573
x[1]: = -30 , y[1]: = 335 , z[1]: = 115 , avg[1]: = 355.457452
x[2]: = -34 , y[2]: = 350 , z[2]: = 109 , avg[2]: = 368.153501
x[3]: = -38 , y[3]: = 350 , z[3]: = 106 , avg[3]: = 367.668329
x[4]: = -30 , y[4]: = 324 , z[4]: = 88  , avg[4]: = 337.075659
x[5]: = -19 , y[5]: = 282 , z[5]: = 66  , avg[5]: = 290.243002
x[6]: = -5  , y[6]: = 196 , z[6]: = 28  , avg[6]: = 198.053023
x[7]: = -7  , y[7]: = 138 , z[7]: = 12  , avg[7]: = 138.697513
x[8]: = -26 , y[8]: = 65  , z[8]: = -30 , avg[8]: = 76.164296
x[9]: = -42 , y[9]: = 26  , z[9]: = -39 , avg[9]: = 62.936476
time: 49309776
x[0]: = -41 , y[0]: = 28  , z[0]: = -31 , avg[0]: = 58.532043
x[1]: = -29 , y[1]: = 66  , z[1]: = -12 , avg[1]: = 73.082146
x[2]: = -15 , y[2]: = 107 , z[2]: = 8   , avg[2]: = 108.342051
x[3]: = -6  , y[3]: = 149 , z[3]: = 29  , avg[3]: = 151.914450
x[4]: = -1  , y[4]: = 186 , z[4]: = 51  , avg[4]: = 192.867830
x[5]: = 5   , y[5]: = 218 , z[5]: = 73  , avg[5]: = 229.952169
x[6]: = -1  , y[6]: = 242 , z[6]: = 77  , avg[6]: = 253.956689
x[7]: = 14  , y[7]: = 262 , z[7]: = 90  , avg[7]: = 277.380605
x[8]: = 50  , y[8]: = 286 , z[8]: = 102 , avg[8]: = 307.733651
x[9]: = 31  , y[9]: = 300 , z[9]: = 78  , avg[9]: = 311.520465
time: 49310176
x[0]: = 14  , y[0]: = 281 , z[0]: = 56  , avg[0]: = 286.867565
x[1]: = -350, y[1]: = 197 , z[1]: = 168 , avg[1]: = 435.353879
x[2]: = -180, y[2]: = 314 , z[2]: = -8  , avg[2]: = 362.022099
x[3]: = -103, y[3]: = 262 , z[3]: = 77  , avg[3]: = 291.859555
x[4]: = -88 , y[4]: = 262 , z[4]: = 46  , avg[4]: = 280.185653
x[5]: = -49 , y[5]: = 237 , z[5]: = 68  , avg[5]: = 251.384168
x[6]: = -35 , y[6]: = 237 , z[6]: = 62  , avg[6]: = 247.463129
x[7]: = -27 , y[7]: = 231 , z[7]: = 63  , avg[7]: = 240.954353
x[8]: = -27 , y[8]: = 232 , z[8]: = 64  , avg[8]: = 242.175556
x[9]: = -28 , y[9]: = 230 , z[9]: = 65  , avg[9]: = 240.642889
time: 49310576
x[0]: = -28 , y[0]: = 230 , z[0]: = 64  , avg[0]: = 240.374707
x[1]: = -29 , y[1]: = 231 , z[1]: = 65  , avg[1]: = 241.716776
x[2]: = -31 , y[2]: = 229 , z[2]: = 63  , avg[2]: = 239.522442
x[3]: = -34 , y[3]: = 231 , z[3]: = 62  , avg[3]: = 241.580214
x[4]: = -32 , y[4]: = 230 , z[4]: = 62  , avg[4]: = 240.349745
x[5]: = -37 , y[5]: = 231 , z[5]: = 62  , avg[5]: = 242.020660
x[6]: = -30 , y[6]: = 230 , z[6]: = 62  , avg[6]: = 240.091649
x[7]: = -24 , y[7]: = 225 , z[7]: = 66  , avg[7]: = 235.705325
x[8]: = -26 , y[8]: = 226 , z[8]: = 65  , avg[8]: = 236.594590
x[9]: = -29 , y[9]: = 229 , z[9]: = 66  , avg[9]: = 240.079154
time: 49311000
x[0]: = -33 , y[0]: = 228 , z[0]: = 65  , avg[0]: = 239.370006
x[1]: = -37 , y[1]: = 229 , z[1]: = 64  , avg[1]: = 240.636656
x[2]: = -36 , y[2]: = 231 , z[2]: = 68  , avg[2]: = 243.476898
x[3]: = -37 , y[3]: = 231 , z[3]: = 66  , avg[3]: = 243.076120
x[4]: = -39 , y[4]: = 233 , z[4]: = 60  , avg[4]: = 243.741667
x[5]: = -39 , y[5]: = 234 , z[5]: = 60  , avg[5]: = 244.697773
x[6]: = -37 , y[6]: = 234 , z[6]: = 59  , avg[6]: = 244.143400
x[7]: = -36 , y[7]: = 233 , z[7]: = 60  , avg[7]: = 243.279674
x[8]: = -34 , y[8]: = 230 , z[8]: = 58  , avg[8]: = 239.624707
x[9]: = -36 , y[9]: = 232 , z[9]: = 61  , avg[9]: = 242.571639
time: 49311400
x[0]: = -36 , y[0]: = 232 , z[0]: = 60  , avg[0]: = 242.322100
x[1]: = -40 , y[1]: = 237 , z[1]: = 59  , avg[1]: = 247.487373
